,OrderID,CustomerName,Product,Quantity,UnitPrice,OrderDate,ShippingCost,CustomerID,CustomerEmail,Country,Membership,SignUpDate,LastOrderDate,TotalSpent,Customer Communication Log
0,1,Richard Moore,Laptop,3,499.92510337981975,2023-01-01,67.7950589053438,753,dealhunter3952@buyeasy.com,UK,VIP,2024-01-23,2025-01-22,5483.214320671804,2022-07-26: Request for more information on a product; 2022-02-05: Feedback about membership benefits
1,398,Charles Miller,Laptop,3,188.987820812781,2024-02-02,15.1280859961995,753,dealhunter3952@buyeasy.com,UK,VIP,2024-01-23,2025-01-22,5483.214320671804,2022-07-26: Request for more information on a product; 2022-02-05: Feedback about membership benefits
2,2,Charles Martin,Book,3,759.6852639834052,2023-01-02,81.16094544872897,368,invalid_email,UK,Premium,2023-01-03,2024-01-03,5080.151686366843,2022-07-08: Feedback about delayed delivery; 2022-07-19: Request about product availability; 2022-09-15: Feedback regarding order status
3,452,David Anderson,Book,4,578.4631499409246,2024-03-27,76.04066475795754,368,invalid_email,UK,Premium,2023-01-03,2024-01-03,5080.151686366843,2022-07-08: Feedback about delayed delivery; 2022-07-19: Request about product availability; 2022-09-15: Feedback regarding order status
4,838,Mary Hernandez,Bike,4,163.8466580952233,2025-04-17,8.726187100191982,368,invalid_email,UK,Premium,2023-01-03,2024-01-03,5080.151686366843,2022-07-08: Feedback about delayed delivery; 2022-07-19: Request about product availability; 2022-09-15: Feedback regarding order status
5,3,Linda Brown,Book,3,755.6516848604647,2023-01-03,73.99778583479029,160,shopper1457@bestdeals.com,USA,Premium,2022-06-09,2023-06-09,6933.969962965294,2022-09-16: Inquiry regarding order status; 2022-12-24: Request about payment issues; 2022-02-01: Complaint regarding order status
6,4,Mary Williams,Book,4,637.7602529476887,2023-01-04,48.40841829947169,541,dealhunter9352@eshop.com,UK,Premium,2023-06-25,2024-06-24,3754.643370201924,2022-06-24: Complaint for more information on a product; 2022-07-30: Request for more information on a product; 2022-04-04: Inquiry about payment issues
7,313,Joseph Jones,Toy,2,121.6378886522494,2023-11-09,42.01082480180305,541,dealhunter9352@eshop.com,UK,Premium,2023-06-25,2024-06-24,3754.643370201924,2022-06-24: Complaint for more information on a product; 2022-07-30: Request for more information on a product; 2022-04-04: Inquiry about payment issues
8,5,Thomas Gonzalez,Book,4,168.179057500856,2023-01-05,5.67547310944499,752,marketfan2512@shopworld.com,Australia,Standard,2024-01-22,2025-01-21,6245.826337399579,2022-08-28: Feedback about payment issues; 2022-03-03: Feedback regarding order status; 2022-12-02: Inquiry about membership benefits
9,536,Richard Martinez,Toy,2,499.92510337981975,2024-06-19,36.77650439602021,752,marketfan2512@shopworld.com,Australia,Standard,2024-01-22,2025-01-21,6245.826337399579,2022-08-28: Feedback about payment issues; 2022-03-03: Feedback regarding order status; 2022-12-02: Inquiry about membership benefits
